,name,city,state,nirfRank,rank
1420,"Government First Grade College, Sakleshpura",Hassan,Karnataka,nan,nan
1421,"Government First Grade College, Savalgi",Bagalkot,Karnataka,nan,nan
1422,"Government First Grade College, Shiralakoppa",Shimoga,Karnataka,nan,nan
1423,"Government First Grade College, T. Narasipura",Mysore,Karnataka,nan,nan
1424,"Government First Grade College, Udapura",Hassan,Karnataka,nan,nan
1425,"Government First Grade College, Vijayanagar",Bangalore,Karnataka,nan,nan
1426,"Government First Grade College,For Women, Maddur",Maddur,Karnataka,nan,nan
1427,Government First Grade Degree College Gurumitkal,Gurumatkal,Karnataka,nan,nan
1428,Government First Grade Degree College Raichur,Raichur,Karnataka,nan,nan
1429,Government First Grade Degree College Yadgir,YADAGIR,Karnataka,nan,nan
1430,Government First Grade Degree College for Women,Jamkhandi,Karnataka,nan,nan
1431,"Government First Grade Degree College, Hulsoor",Hulsoor,Karnataka,nan,nan
1432,Government Gandhi Degree College Balaji Mihona,MIHONA,Madhya Pradesh,nan,nan
1433,Government Gandhi Memorial Science College,Jammu,Jammu and Kashmir,nan,nan
1434,"Government Geetanjali Girls College, Berasia Road, Bhopal",Bhopal,Madhya Pradesh,nan,nan
1435,Government General Degree College,Jhargram,West Bengal,nan,nan
1436,"Government General Degree College, Kalna-I",Barddhaman,West Bengal,nan,nan
1437,Government Girls College,MORENA,Madhya Pradesh,nan,nan
1438,Government Girls College,DATIA,Madhya Pradesh,nan,nan
1439,"Government Girls College, Barwani",Barwani,Madhya Pradesh,nan,nan
1440,"Government Girls College, Ujjain",Ujjain,Madhya Pradesh,nan,nan
1441,"Government Girls College, Vidisha",Vidisha,Madhya Pradesh,nan,nan
1442,"Government Girls Degree College Chachora, Beenagang",chachora,Madhya Pradesh,nan,nan
1443,"Government Girls Degree College Khanpur, Haridwar",khanpur,Uttarakhand,nan,nan
1444,"Government Girls Degree College, Haldwani",Haldwani,Uttarakhand,nan,nan
1445,"Government Girls P.G.College, Rewa",Rewa,Madhya Pradesh,nan,nan
1446,Government Govind Degree College Sebda,SEONDHA,Madhya Pradesh,nan,nan
1447,"Government Home Science College, Hoshangabad",Hoshangabad,Madhya Pradesh,nan,nan
1448,"Government Home Science College,Sector-10",Chandigarh,Chandigarh,nan,nan
1449,Government Hrangbana College,Aizawl,Mizoram,nan,nan
1450,Government I Grade College,Uttara Kannada,Karnataka,nan,nan
1451,Government I Grade College Naregal,Naregal,Karnataka,nan,nan
1452,Government I Grade College Shiggaon,Haveri,Karnataka,nan,nan
1453,Government Institute Of Forensic Science Aurangabad,Aurangabad,Maharashtra,nan,nan
1454,Government Institute of Forensic Science,Nagpur,Maharashtra,nan,nan
1455,"Government Institute of Science, Nagpur",Nagpur,Maharashtra,nan,nan
1456,"Government J.S.T.P.G. College, Balaghat",Balaghat,Madhya Pradesh,nan,nan
1457,"Government K.N.S. Girls College, Balaghat",Balaghat,Madhya Pradesh,nan,nan
1458,Government Kamalaraja PG College,Gwalior,Madhya Pradesh,nan,nan
1459,Government Kasturba Girls College,Guna,Madhya Pradesh,nan,nan
1460,Government LSGK College Pohari,Shivpuri,Madhya Pradesh,nan,nan
1461,Government Law College,MORENA,Madhya Pradesh,nan,nan
1462,"Government Law College, Ashoknagar",Ashoknagar,Madhya Pradesh,nan,nan
1463,"Government M.H. College of Home Sc. & Science for Women,Jabalpur",Jabalpur,Madhya Pradesh,nan,nan
1464,Government Madhav College Chanderi,CHANDERI,Madhya Pradesh,nan,nan
1465,"Government Mahakoshal Autonmous Arts. & Commerece College, Civil Line Jabalpur",Jabalpur,Madhya Pradesh,nan,nan
1466,Government Mahavidyalaya Noida,NOIDA,Uttar Pradesh,nan,nan
1467,"Government Mahila Engineering College, Ajmer",Ajmer,Rajasthan,nan,nan
1468,Government Medical College,Bhavnagar,Gujarat,nan,nan
1469,Government Medical College,Surat,Gujarat,nan,nan
1470,"Government Medical College, Amritsar",Amritsar,Punjab,nan,nan
1471,Government N. C. J. College,Balod,Chhattisgarh,nan,nan
1472,"Government National College, Sirsa",SIRSA,Haryana,nan,nan
1473,"Government Navin College, Narwar",Narwar,Madhya Pradesh,nan,nan
1474,Government Nehru Degree College,Ashoknagar,Madhya Pradesh,nan,nan
1475,Government Nehru Degree College Sabalgarh,SABALGARH,Madhya Pradesh,nan,nan
1476,"Government P G College, Bageshwar",Bageshwar,Uttarakhand,nan,nan
1477,"Government P G College, Baluwakot",pithoragarh,Uttarakhand,nan,nan
1478,"Government P G College, Berinag",Pithoragarh,Uttarakhand,nan,nan
1479,"Government P G College, Garudabanj",Garudabanj (Almora),Uttarakhand,nan,nan
1480,"Government P G College, Jaintee",Almora,Uttarakhand,nan,nan
1481,"Government P G College, Kapkot",Bageshwar,Uttarakhand,nan,nan
1482,"Government P G College, Lohaghat",Lohaghat,Uttarakhand,nan,nan
1483,"Government P G College, Manila",Almora,Uttarakhand,nan,nan
1484,"Government P G College, Munsyari",Pithoragarh,Uttarakhand,nan,nan
1485,"Government P G College, Ramnagar",Ramnagar,Uttarakhand,nan,nan
1486,"Government P G College, Rudrapur",Rudrapur,Uttarakhand,nan,nan
1487,"Government P G College, Syalde",Ranikhet,Uttarakhand,nan,nan
1488,"Government P G College, Tanakpur",Tanakpur,Uttarakhand,nan,nan
1489,Government P. G. College,Someshwar,Uttarakhand,nan,nan
1490,"Government P.G Degree College, Gopeshwar",Gopeshwar (Chamoli),Uttarakhand,nan,nan
1491,"Government P.G Degree College, New Tehri",NEW TEHRI,Uttarakhand,nan,nan
1492,"Government P.G Degree College, Uttarkashi",uttarkashi,Uttarakhand,nan,nan
1493,Government P.G. College,GUNA,Madhya Pradesh,nan,nan
1494,Government P.G. College Shepurkla,sheopur,Madhya Pradesh,nan,nan
1495,"Government P.G. College, Barwani",BARWANI,Madhya Pradesh,nan,nan
1496,"Government P.G. College, Khargone",KHARGONE,Madhya Pradesh,nan,nan
1497,Government PG College,Datia,Madhya Pradesh,nan,nan
1498,Government PG College,MORENA,Madhya Pradesh,nan,nan
1499,"Government PG Degree College, Rishikesh, Dehradun",Rishikesh,Uttarakhand,nan,nan
1500,"Government Post Graduate College, Sector-11",Chandigarh,Chandigarh,nan,nan
1501,"Government Post Graduate College, Sector-46",Chandigarh,Chandigarh,nan,nan
1502,"Government Post-graduate College for Girls, Sector-11",Chandigarh,Chandigarh,nan,nan
1503,Government Ramnarayan Chellaram College of Commerce and Management,BENGALURU,Karnataka,nan,nan
1504,Government Raza (PG) College,Rampur,Uttar Pradesh,nan,nan
1505,"Government S.S.P. Arts, Commerce & Science College, Waraseoni, Balaghat",WARASEONI,Madhya Pradesh,nan,nan
1506,"Government Sanskrit College, Lashkar, Gwalior","Lashkar, Gwalior",Madhya Pradesh,nan,nan
1507,"Government Sanskrit College, Tripunithura",Ernakulam,Kerala,nan,nan
1508,"Government Sarojini Naidu Girls College, Shivaji Nagar, Bhopal",Bhopal,Madhya Pradesh,nan,nan
